Customer_ID,Product_Category,Product_Name,Sale_Amount,Discount_Percentage,Final_Price,Purchase_Date,Year,Month
25795,Toys,Lego Set,329.15,10,296.24,2022-10-03 19:53:08.891772640,2022,10
10860,Clothing,T-Shirt,85.5,30,59.85,2023-02-12 02:02:57.524007264,2023,2
86820,Beauty,Foundation,326.8,20,261.44,2020-10-02 03:30:02.335842200,2020,10
64886,Beauty,Face Cream,99.5,10,89.55,2020-10-24 20:15:56.760965480,2020,10
16265,Beauty,Foundation,377.76,15,321.1,2021-04-02 17:18:25.320529456,2021,4
92386,Clothing,Jeans,176.15,30,123.3,2021-10-03 11:32:09.405657928,2021,10
47194,Toys,Lego Set,357.85,20,286.28,2023-04-19 23:55:19.698935888,2023,4
97498,Home Appliances,Vacuum Cleaner,33.45,10,30.11,2020-04-04 13:03:54.518556968,2020,4
54131,Clothing,Sneakers,209.85,15,178.37,2022-09-24 03:46:06.571502720,2022,9
70263,Beauty,Lipstick,355.47,10,319.92,2022-04-19 15:34:20.212821184,2022,4
26023,Toys,Puzzle,121.17,20,96.94,2020-05-28 19:45:51.622112640,2020,5
51090,Groceries,Milk,399.69,30,279.78,2022-02-28 07:36:53.444069552,2022,2
77221,Electronics,Smartwatch,319.08,15,271.22,2020-12-28 09:17:36.735011680,2020,12
74820,Beauty,Face Cream,297.91,15,253.22,2020-02-10 01:37:43.898261095,2020,2
10769,Groceries,Olive Oil,183.24,50,91.62,2021-07-14 22:48:14.575655336,2021,7
69735,Home Appliances,Vacuum Cleaner,246.4,20,197.12,2021-10-23 00:30:27.562937968,2021,10
72955,Beauty,Perfume,302.7,20,242.16,2021-09-26 09:00:02.803010640,2021,9
74925,Groceries,Milk,241.51,15,205.28,2021-12-09 18:52:58.614066960,2021,12
77969,Beauty,Perfume,352.17,20,281.74,2022-06-28 07:45:51.622112640,2022,6
15311,Clothing,Sneakers,222.51,20,178.01,2023-04-15 15:42:22.330651440,2023,4
93104,Toys,Lego Set,109.11,15,92.74,2022-04-11 03:52:38.992992472,2022,4
63707,Groceries,Rice,114.83,50,57.42,2020-03-18 04:12:05.045419154,2020,3
95305,Toys,Action Figure,12.84,30,8.99,2021-11-04 20:25:06.151051128,2021,11
38693,Clothing,Jacket,157.47,25,118.1,2021-11-10 18:31:51.653257200,2021,11
81932,Clothing,T-Shirt,376.97,20,301.58,2023-09-10 07:02:52.852322864,2023,9
35658,Toys,Puzzle,399.14,20,319.31,2023-10-28 01:25:23.903451856,2023,10
94478,Groceries,Rice,109.21,10,98.29,2021-07-01 07:56:41.920581368,2021,7
28431,Toys,Lego Set,479.93,15,407.94,2021-04-21 20:48:16.444329096,2021,4
12747,Toys,Doll,256.18,25,192.14,2020-09-01 08:30:53.724370620,2020,9
69150,Electronics,Smartphone,459.32,20,367.46,2023-01-16 05:48:19.247339728,2023,1
75725,Groceries,Olive Oil,356.31,30,249.42,2023-08-17 19:20:04.360238768,2023,8
94654,Electronics,Laptop,363.99,10,327.59,2021-08-04 20:56:07.350116792,2021,8
45773,Beauty,Lipstick,51.67,20,41.34,2020-05-26 01:26:42.387749806,2020,5
77435,Toys,Action Figure,117.8,20,94.24,2022-02-05 10:06:45.502206072,2022,2
66886,Beauty,Face Cream,14.32,20,11.46,2023-07-01 00:57:33.309109776,2023,7
76803,Groceries,Rice,360.9,30,252.63,2022-03-26 13:38:51.170516480,2022,3
41551,Toys,Board Game,178.77,50,89.38,2022-09-29 21:08:38.556968592,2022,9
21394,Beauty,Shampoo,395.46,10,355.91,2023-07-11 12:01:29.696340512,2023,7
79092,Home Appliances,Washing Machine,176.08,10,158.47,2021-07-15 03:32:28.092395536,2021,7
13890,Clothing,Sneakers,411.47,10,370.32,2020-10-29 23:25:48.196210744,2020,10
51606,Toys,Puzzle,74.04,25,55.53,2024-01-18 13:31:33.900856480,2024,1
90038,Clothing,Sweater,94.95,15,80.71,2020-03-13 15:14:54.160394498,2020,3
97313,Electronics,Smartwatch,177.03,25,132.77,2021-03-24 05:55:36.516999736,2021,3
20627,Beauty,Perfume,210.16,15,178.64,2021-01-21 06:28:52.260576176,2021,1
18792,Electronics,Laptop,180.86,20,144.69,2022-08-26 22:21:53.677653776,2022,8
83969,Toys,Puzzle,384.19,25,288.14,2023-02-25 02:41:49.628860624,2023,2
53001,Clothing,Jeans,57.51,20,46.01,2022-10-27 02:51:43.867116528,2022,10
86552,Clothing,Jeans,182.1,20,145.68,2020-08-04 17:19:21.380742280,2020,8
33897,Beauty,Perfume,420.25,5,399.24,2021-06-30 22:28:14.887100960,2021,6
78148,Toys,Lego Set,42.73,15,36.32,2024-02-09 20:49:01.292499344,2024,2
33483,Home Appliances,Refrigerator,471.75,20,377.4,2023-09-13 06:06:15.603425904,2023,9
58555,Home Appliances,Microwave,493.3,20,394.64,2020-10-01 13:17:21.785621592,2020,10
27159,Beauty,Shampoo,53.4,50,26.7,2023-05-09 22:22:04.889696336,2023,5
90077,Toys,Action Figure,152.72,50,76.36,2020-11-21 01:59:02.071113416,2020,11
45920,Beauty,Shampoo,192.48,30,134.74,2021-02-04 21:01:32.499351156,2021,2
77121,Toys,Lego Set,390.43,15,331.87,2020-11-27 04:50:01.090059692,2020,11
79479,Electronics,Laptop,302.0,25,226.5,2021-02-27 13:47:26.924474432,2021,2
99475,Beauty,Lipstick,325.74,15,276.88,2021-07-11 09:32:11.274331688,2021,7
29457,Toys,Puzzle,381.18,10,343.06,2021-10-12 13:26:31.175707240,2021,10
76557,Home Appliances,Air Conditioner,67.81,15,57.64,2022-04-03 01:39:24.806644176,2022,4
87189,Toys,Lego Set,418.27,5,397.36,2023-03-12 07:27:10.417856208,2023,3
88953,Toys,Doll,355.75,15,302.39,2022-01-16 06:55:46.794705424,2022,1
62995,Beauty,Lipstick,292.9,20,234.32,2021-03-16 08:26:35.847391640,2021,3
50757,Electronics,Laptop,445.97,50,222.98,2021-10-25 23:33:50.314041008,2021,10
19692,Electronics,Smartphone,353.15,15,300.18,2021-09-09 09:36:40.363353232,2021,9
55758,Electronics,Tablet,108.83,50,54.42,2020-09-08 01:34:33.293537504,2020,9
82409,Electronics,Headphones,220.58,10,198.52,2021-01-25 14:41:49.628860628,2021,1
81211,Groceries,Olive Oil,252.08,10,226.87,2021-12-30 17:00:51.388528416,2021,12
75697,Beauty,Face Cream,37.06,20,29.65,2023-07-29 01:37:32.686218528,2023,7
47065,Clothing,T-Shirt,477.77,25,358.33,2021-03-07 16:00:41.110822736,2021,3
42606,Beauty,Face Cream,73.0,5,69.35,2023-04-03 14:44:37.809499088,2023,4
21534,Groceries,Pasta,351.76,10,316.58,2023-04-15 06:13:55.297171040,2023,4
50397,Electronics,Headphones,258.05,20,206.44,2021-04-19 21:26:01.276927072,2021,4
11016,Groceries,Bread,22.56,15,19.18,2020-11-07 01:39:02.382559044,2020,11
99789,Home Appliances,Washing Machine,463.13,25,347.35,2021-11-17 16:19:44.739164288,2021,11
65591,Home Appliances,Washing Machine,427.4,20,341.92,2021-11-30 16:58:36.844017648,2021,11
99812,Beauty,Perfume,266.89,10,240.2,2020-10-16 22:46:56.091357384,2020,10
33247,Beauty,Lipstick,122.18,30,85.53,2020-07-12 05:36:32.888658188,2020,7
34300,Clothing,Jacket,69.6,15,59.16,2020-09-04 17:02:43.508954060,2020,9
